Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Squash,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
SMI_HOL,643,0,2,0,0,0,0,0,0,0,0,0,388,2651,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,7,0,0,0,0,243,33,2,5,0,986,72,672,0,148,99,0,0,0,0,0,0,0,0,0,0,6463,1040,1829,148,283,0,0.160915983,0.282995513,0.022899582,0.043787715,0,0.099489401,0.000309454,1000
DIP_PAT,2424,0,290,0,4,0,0,306,1,0,0,0,1696,48,0,0,2,0,0,0,0,0,0,0,0,0,223,0,0,0,1,0,0,2,230,43,0,0,1,828,1,9,14,119,199,23,0,0,0,0,0,0,0,2,0,6466,4726,1075,119,274,2,0.730900093,0.166254253,0.018403959,0.042375503,0.00030931,0.374884009,0.044849985,1000
MIL_YOD,993,0,818,0,0,2,2,1,0,0,0,0,945,218,0,0,14,0,0,0,0,0,0,0,1,2,193,0,0,0,0,2,0,0,226,22,4,0,3,1958,0,3,30,1017,8,16,0,0,0,0,0,0,0,0,0,6478,2780,2018,1017,255,0,0.429144798,0.3115159,0.156992899,0.039364001,0,0.153288052,0.126273541,1000
MIL_CHA,2556,0,297,0,0,1,0,151,0,0,0,0,1387,103,0,0,1,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,332,9,2,0,2,1089,2,22,8,445,17,0,0,0,0,0,0,0,0,0,0,6493,4393,1140,445,345,0,0.676574773,0.175573695,0.068535346,0.053134144,0,0.393654705,0.045741568,1000
MIL_MCC,2439,0,296,0,0,0,0,84,0,9,0,0,367,233,0,0,6,0,0,0,0,0,0,0,0,0,26,0,0,0,0,3,0,2,207,25,0,0,0,1610,76,75,15,553,425,20,0,0,0,0,0,0,0,0,0,6471,3204,2221,553,232,2,0.495132128,0.343223613,0.085458198,0.035852264,0.000309071,0.376912378,0.045742544,1000
KAT_SAU,496,13,53,0,0,14,0,0,0,9,2,0,118,1343,0,0,196,0,0,0,0,0,0,0,5,0,124,0,0,0,0,0,0,2,395,20,2,0,2,2331,168,621,13,353,10,0,0,0,0,0,0,0,0,0,0,6290,906,3145,353,419,2,0.144038156,0.5,0.056120827,0.066613672,0.000317965,0.078855326,0.008426073,1000
KAT_SAU_2,664,42,14,1,0,76,0,4,11,72,0,0,289,2208,0,0,4,0,0,0,0,0,0,0,33,0,79,0,0,0,0,0,0,6,466,27,2,0,3,1476,66,228,13,496,7,4,0,0,0,0,0,0,0,0,0,6291,1210,1797,496,498,6,0.192338261,0.285646161,0.078842791,0.079160706,0.000953743,0.105547608,0.002225401,1000
KAT_TEE,782,0,62,0,0,0,0,0,0,0,0,0,380,961,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,2,0,0,15,292,61,3,0,1,2468,55,504,0,468,214,24,0,0,0,0,0,0,0,0,0,6347,1226,3266,468,357,15,0.193162124,0.514573814,0.073735623,0.056247046,0.002363321,0.123207815,0.009768395,1000
KAT_TEE_2,469,0,3,0,0,0,2,8,0,0,0,0,178,321,0,0,16,99,0,0,0,0,0,0,0,0,206,0,0,2,0,0,0,0,96,0,0,0,0,3293,472,1032,2,144,4,5,1,0,0,0,0,0,1,0,0,6354,779,4808,144,96,0,0.122599937,0.7566887,0.02266289,0.015108593,0,0.073811772,0.000472144,1000
KAT_HAB_2,1066,0,178,0,0,0,0,2,0,3,0,0,266,1814,0,0,14,4,0,0,0,0,0,0,0,0,267,0,0,20,0,0,0,0,267,22,0,0,8,1511,279,405,0,222,25,16,2,0,0,0,0,0,0,0,0,6391,1555,2244,222,297,0,0.243310906,0.351118761,0.034736348,0.046471601,0,0.166797058,0.027851666,1000
KAT_HAB,1354,0,444,0,1,2,0,0,0,0,0,0,25,930,0,0,0,1,0,0,0,0,0,0,0,0,67,0,0,8,66,0,0,0,1000,20,0,0,1,1189,111,671,5,425,30,27,0,0,0,0,0,0,0,0,0,6377,1901,2034,425,1021,0,0.298102556,0.318958758,0.066645758,0.160106633,0,0.212325545,0.069625216,1000
KAT_BAR,767,1,138,0,1,3,0,7,2,9,0,0,151,366,0,0,114,0,0,0,0,0,0,0,5,0,61,0,0,1,25,11,0,243,321,168,127,10,37,1817,110,1154,19,423,140,61,0,0,0,0,0,0,0,0,0,6292,1235,3338,423,663,243,0.196280992,0.53051494,0.067228226,0.105371901,0.03862047,0.121900826,0.021932613,1000
SMI_LAT,1682,0,17,0,4,0,0,5,0,205,0,0,1071,313,0,0,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,55,544,46,6,0,2,1543,33,157,13,457,227,8,0,0,0,0,0,0,0,0,0,6417,2997,1983,457,598,55,0.467040673,0.309022908,0.07121708,0.093189964,0.008570983,0.262116254,0.002649213,1000
SMI_DUR,1409,0,89,0,2,14,0,10,3,0,0,0,168,237,1,0,20,0,0,0,0,0,0,0,6,0,186,0,0,0,4,9,0,2,348,112,2,0,3,2063,102,92,101,692,796,22,0,0,0,0,0,3,0,0,0,6496,1738,3179,692,465,2,0.267549261,0.489378079,0.106527094,0.071582512,0.000307882,0.216902709,0.013700739,1000
SMI_HOF,1393,0,41,0,6,0,0,2,3,0,0,0,143,253,0,0,0,0,0,0,0,0,0,0,5,0,53,0,0,0,0,0,0,148,274,107,4,0,27,2186,91,524,7,709,309,60,2,0,0,0,0,0,0,0,0,6347,1595,3204,709,412,148,0.251299827,0.50480542,0.111706318,0.064912557,0.023318103,0.219473767,0.006459745,1000
SMI_JOH,1759,0,54,0,0,2,0,0,0,0,0,0,543,295,0,0,7,0,2,0,0,0,0,0,11,0,68,0,0,0,0,3,0,2,237,87,28,3,3,1821,276,307,58,753,161,6,0,0,0,0,0,0,0,0,0,6486,2381,2632,753,358,2,0.367098366,0.405797101,0.116096207,0.055195806,0.000308356,0.271199507,0.008325624,1000
SMI_JOH_2,389,0,476,0,0,734,0,12,2,35,0,0,430,75,3,0,13,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,159,247,44,0,0,0,2599,224,92,68,354,329,23,0,0,0,0,0,0,0,0,0,6497,2094,3335,354,291,159,0.322302601,0.513313837,0.054486686,0.044789903,0.024472834,0.059873788,0.073264584,1000
GAB_ALL,50,0,2,0,0,0,0,0,0,0,0,0,34,93,0,0,0,0,0,0,0,0,0,0,0,3,78,0,0,0,0,0,0,669,433,588,216,35,37,1517,60,1397,3,66,1168,20,0,0,0,0,0,0,0,0,0,6469,89,4202,66,1309,669,0.013757922,0.649559437,0.010202504,0.202349668,0.103416293,0.00772917,0.000309167,1000
KAT_JEF,654,0,12,0,0,3,0,0,0,0,0,0,82,1598,0,0,0,0,2,0,0,0,0,0,0,0,72,0,0,0,2,0,0,3,268,135,13,1,16,1818,267,533,1,559,276,16,0,0,0,0,0,0,0,0,0,6331,755,2927,559,433,3,0.119254462,0.462328226,0.088295688,0.068393619,0.000473859,0.103301216,0.001895435,1000
KAT_JEF_2,829,0,8,0,0,1,0,0,0,1,0,0,77,1127,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,1,0,18,123,46,6,0,7,1552,61,293,10,445,1502,202,0,0,0,0,0,0,0,0,0,6340,918,3627,445,182,18,0.144794953,0.572082019,0.070189274,0.028706625,0.002839117,0.130757098,0.00126183,1000
STA_WIL,639,0,26,0,0,0,0,451,0,9,0,0,1560,136,0,0,268,0,0,0,0,0,0,0,1,0,391,0,0,2,2,0,0,12,286,20,0,0,0,1618,12,83,15,486,454,13,0,0,0,0,0,0,0,0,0,6484,2958,2195,486,306,12,0.456199877,0.338525601,0.074953732,0.047193091,0.001850709,0.098550278,0.00400987,1000
STA_HEM_2,890,0,225,0,10,0,0,454,8,33,0,0,691,133,0,0,16,0,0,0,2,0,12,2,4,0,978,0,2,12,73,0,0,17,239,118,40,22,149,664,6,83,20,547,443,32,12,0,0,0,0,0,0,1,518,6456,2965,1397,547,568,17,0.459262701,0.216387856,0.084727385,0.087980173,0.002633209,0.137856258,0.034851301,1000
STA_HEM,1601,0,739,0,0,0,0,15,0,1,0,0,632,179,0,0,2,0,0,0,0,0,1,0,20,0,440,0,0,0,166,18,0,73,329,55,1,0,1,1017,1,103,10,704,283,23,0,0,0,47,0,0,0,0,7,6468,3249,1438,704,386,73,0.502319109,0.222325294,0.108843537,0.059678417,0.011286333,0.247526283,0.114254793,1000
STA_SWE,677,0,96,0,0,0,0,630,0,4,0,7,1646,153,0,2,94,0,0,0,0,0,27,0,6,0,323,0,0,2,0,0,0,14,406,52,0,0,2,1454,0,103,19,302,355,48,0,0,0,18,0,0,0,0,2,6442,3211,1981,302,460,14,0.498447687,0.307513195,0.046879851,0.071406396,0.002173238,0.105091586,0.014902204,1000
STA_COL,1338,0,299,0,56,0,0,225,0,4,0,0,691,49,0,0,24,0,0,0,0,0,2,0,5,0,978,0,0,23,0,48,0,13,184,160,75,0,35,950,2,142,45,592,172,7,0,0,0,6,0,0,0,0,393,6518,3114,1353,592,454,13,0.477753912,0.207579012,0.090825407,0.069653268,0.001994477,0.205277693,0.045872967,1000
WIS_COO_2,642,0,27,0,0,1,0,0,3,0,0,0,366,509,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,6,0,1,0,46,292,110,20,0,11,2446,36,78,9,451,1069,26,0,0,0,0,0,0,0,0,0,6248,1046,3675,451,433,46,0.167413572,0.58818822,0.072183099,0.069302177,0.007362356,0.102752881,0.004321383,1000
WIS_COO,1485,1,65,0,0,0,0,5,0,0,0,0,875,598,0,0,0,0,0,0,0,0,0,0,2,0,128,0,0,3,0,0,0,17,163,24,0,0,1,1736,11,68,3,971,90,7,1,0,0,0,0,0,0,0,0,6254,2437,1916,971,188,17,0.389670611,0.306363927,0.155260633,0.030060761,0.00271826,0.237448033,0.010393348,1000
LET_NOB,1995,0,75,0,2,0,0,7,0,0,0,0,2297,37,0,0,245,1,0,0,0,1,5,0,0,0,343,0,0,3,0,0,0,3,178,51,10,6,6,985,1,42,12,112,37,1,0,0,0,0,0,0,0,0,0,6455,4631,1084,112,251,3,0.71742835,0.167931836,0.017350891,0.038884586,0.000464756,0.309062742,0.0116189,1000
LET_TAB,1897,0,52,0,0,0,0,4,0,2,0,0,2270,32,0,0,47,45,0,0,4,0,2,0,0,0,122,0,0,0,5,0,0,12,266,16,4,0,2,1312,12,150,4,115,33,5,0,0,0,0,0,0,0,0,0,6413,4328,1518,115,288,12,0.674879152,0.23670669,0.017932325,0.044908779,0.001871199,0.295805395,0.00810853,1000
WIS_HIG,41,0,7,0,0,5,0,0,4,0,0,0,16,95,0,0,0,0,0,0,0,0,0,0,0,0,185,10,16,423,0,0,0,20,489,410,296,112,26,3368,0,55,10,335,302,8,0,0,0,0,0,0,0,0,0,6233,522,3769,335,1333,20,0.083747794,0.604684742,0.05374619,0.213861704,0.003208728,0.006577892,0.001123055,1000
WIS_MEG,323,0,22,0,497,10,0,0,42,0,0,0,58,636,0,0,0,2,0,0,0,0,0,0,10,5,81,0,0,22,0,0,1,86,631,722,243,29,30,1842,7,54,8,696,198,28,2,0,0,0,0,0,0,0,0,6285,994,2167,696,1655,86,0.158154336,0.344789181,0.110739857,0.263325378,0.013683373,0.051392204,0.003500398,1000
WIS_KEN,15,1,0,0,0,0,0,0,0,0,0,0,43,129,0,0,0,0,0,0,1,0,0,0,0,0,44,0,6,340,0,0,2,1507,874,431,363,86,12,1840,4,38,5,203,162,101,2,0,0,0,0,0,0,0,0,6209,410,2162,203,1766,1507,0.066033178,0.34820422,0.032694476,0.284425833,0.242712192,0.002415848,0,1000
ZUE_REE,822,0,488,0,2,0,0,273,3,14,0,0,784,123,4,0,9,0,0,2,2,0,0,0,5,0,1079,1,0,3,35,0,0,978,182,122,9,0,2,891,1,62,32,357,108,29,4,0,0,6,0,0,0,0,5,6437,2462,1125,357,315,978,0.382476309,0.174770856,0.055460618,0.04893584,0.151934131,0.127699239,0.075811714,1000
DEG_PER_STRIP,1203,0,338,0,0,11,0,33,8,19,0,0,1003,380,5,0,5,0,0,0,0,0,0,0,1,0,217,0,0,0,0,0,0,1,336,33,3,0,3,1896,83,225,16,553,21,6,8,0,0,0,6,0,0,3,0,6416,2643,2250,553,375,1,0.411938903,0.350685786,0.086190773,0.058447631,0.00015586,0.1875,0.052680798,1000
DEG_FOU_WOOD,1930,0,17,0,0,0,0,2,0,0,0,0,956,865,0,0,2,0,0,0,0,0,0,0,0,0,29,0,0,0,5,4,0,2,345,22,0,0,9,1126,78,189,20,694,95,6,0,0,0,0,0,0,0,0,0,6396,2916,1523,694,376,2,0.455909944,0.238117573,0.108505316,0.058786742,0.000312695,0.301751094,0.002657911,1000
DEG_DIE_HILL,1495,0,99,0,19,0,0,0,0,0,0,0,537,295,0,0,0,0,0,0,1,0,0,0,5,0,62,0,0,1,0,2,0,62,658,604,206,76,35,921,83,200,41,921,77,5,0,0,0,0,0,0,0,0,0,6405,2159,1362,921,1579,62,0.337080406,0.21264637,0.143793911,0.246526151,0.009679938,0.233411397,0.015456674,1000
DEG_DIE_SWC,1346,1,166,0,2,0,0,52,0,2,0,0,422,468,0,0,0,0,0,0,0,0,0,0,18,2,107,0,0,1,5,11,0,3,392,64,6,0,8,1749,62,158,55,1057,219,24,7,0,0,0,0,0,0,0,0,6407,2035,2275,1057,470,3,0.317621352,0.355080381,0.164975808,0.073357265,0.000468238,0.210082722,0.025909162,1000
DEG_YOU_BOCES,795,0,13,0,0,0,0,4,0,0,0,0,332,331,0,0,0,0,0,0,0,0,0,0,1,0,57,0,0,2,1,4,0,21,688,606,132,25,18,1320,115,253,67,1376,223,21,0,0,0,0,0,0,0,0,0,6405,1152,2017,1376,1469,21,0.179859485,0.314910226,0.214832162,0.229352069,0.003278689,0.12412178,0.002029664,1000
DEG_YOU_OSHEA,1727,0,48,0,0,0,0,0,0,0,0,0,1017,105,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,83,616,391,55,2,0,1694,84,224,25,185,126,20,0,0,0,0,0,0,0,0,0,6411,2792,2173,185,1064,83,0.435501482,0.338948682,0.028856653,0.165964748,0.012946498,0.269380752,0.007487131,1000
DEG_YOU_JONES,1397,0,45,0,3,0,0,2,0,8,0,0,1084,683,2,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,1,0,0,92,365,181,16,0,2,1238,26,109,49,870,105,8,0,1,0,0,0,0,0,0,0,6420,2543,1537,870,564,92,0.396105919,0.2394081,0.135514019,0.087850467,0.014330218,0.217601246,0.007009346,1000
DEG_VIL,1876,1,88,0,1,7,0,21,0,157,0,0,803,364,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,5,0,2,0,207,340,194,36,0,15,1273,7,66,53,605,202,15,0,0,0,2,0,0,0,0,0,6416,2963,1631,605,585,207,0.461814214,0.254208229,0.094295511,0.091178304,0.032263092,0.292394015,0.013715711,1000
SEA_HOO,1802,0,1059,0,26,0,0,750,45,68,0,0,471,65,5,0,10,0,0,0,0,0,3,0,176,0,573,0,0,0,71,0,0,1,283,43,5,2,1,525,3,101,9,164,131,10,3,0,0,0,0,0,0,0,1,6406,4490,780,164,334,1,0.700905401,0.121760849,0.025600999,0.05213862,0.000156104,0.281298782,0.165313768,1000
MIL_HUM,1718,0,393,0,0,59,0,390,0,34,0,0,1029,189,0,0,319,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,4,233,39,27,14,0,1281,4,31,38,424,65,4,0,0,0,0,0,0,0,0,0,6495,3942,1423,424,313,4,0.606928406,0.219091609,0.065280985,0.048190916,0.000615858,0.264511162,0.060508083,1000
ONE_TER,980,0,29,0,0,0,0,0,0,10,0,0,848,397,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,76,804,896,366,71,12,769,80,24,14,1073,337,18,0,0,0,0,0,0,0,0,0,6839,1867,1254,1073,2149,76,0.272993128,0.18336014,0.156894283,0.314227226,0.011112736,0.143295803,0.004240386,1000
ONE_ADO,1652,0,10,0,0,0,0,3,0,0,0,0,636,100,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,0,2,264,3,0,0,2,3113,220,78,8,325,386,16,5,0,0,0,0,0,0,0,0,6847,2308,3823,325,269,2,0.337081934,0.558346721,0.047466044,0.039287279,0.000292099,0.24127355,0.001460494,1000
ONE_STA,3365,0,9,0,0,0,0,0,2,2,0,0,312,168,29,0,2,0,0,0,0,0,0,0,0,0,44,3,0,0,0,0,0,0,453,89,26,30,40,1486,58,96,19,270,367,7,0,0,3,0,0,0,0,0,0,6880,3727,2073,270,638,0,0.541715116,0.30130814,0.039244186,0.092732558,0,0.489098837,0.00130814,1000
