Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
KAT_JEF_2,1910,0,27,0,0,0,0,0,0,0,0,0,249,2965,0,0,1,0,0,0,0,0,0,0,0,0,59,0,26,0,0,2,17,0,0,43,472,236,76,7,1,5357,577,2647,0,2566,7602,493,0,0,0,0,0,0,2,0,0,0,25335,5232,16677,2566,792,0,0.206512729,0.658259325,0.10128281,0.031261101,0,0.075389777,0.001065719,2000
STA_WIL,7559,2,758,0,0,0,0,1036,0,2,0,0,5435,625,0,0,25,2,0,0,0,0,0,0,0,0,7,0,56,0,0,19,13,2,0,18,1326,230,85,6,5,3617,27,319,5,2541,1987,13,4,0,0,0,0,2,222,0,0,4,25952,15717,5973,2541,1652,0,0.605618064,0.230155672,0.097911529,0.06365598,0,0.291268496,0.029207768,2000
STA_HEM_2,5553,0,1337,3,23,0,0,1662,56,11,0,4,4294,698,0,0,347,9,0,0,2,0,3,0,0,0,44,0,332,0,0,11,67,0,4,47,922,412,219,117,508,3409,16,268,8,2704,2214,65,5,0,1,0,0,0,0,0,0,448,25823,14582,6488,2704,2178,0,0.564690392,0.251248887,0.104712853,0.084343415,0,0.215040855,0.051775549,2000
STA_HEM,7798,5,2099,0,7,3,0,409,34,9,0,1,3583,517,0,0,81,4,25,0,2,0,0,0,0,0,24,0,294,0,0,8,209,28,4,91,1198,430,108,23,47,3654,43,401,4,2417,1660,46,0,0,0,0,0,0,109,0,0,490,25865,15449,5855,2417,1806,0,0.59729364,0.226367678,0.093446743,0.069824087,0,0.301488498,0.081152136,2000
STA_SWE,5338,10,1020,0,20,0,0,346,2,6,0,0,3320,316,5,6,34,9,0,19,3,0,4,0,0,0,5,0,85,0,0,6,5,12,0,19,1150,299,37,4,0,9277,63,515,91,2385,1111,211,6,2,0,0,15,2,4,0,0,2,25764,10517,11268,2385,1490,0,0.408205248,0.437354448,0.092571029,0.057832635,0,0.207188325,0.039590126,2000
STA_COL,3702,0,1338,0,281,0,0,1882,2,5,0,0,2334,229,0,4,562,16,0,4,2,7,140,0,0,0,11,0,91,0,5,64,7,15,0,48,1563,959,357,29,18,4381,115,816,10,5106,1744,42,6,0,0,0,33,0,9,0,0,149,26086,10807,7126,5106,2926,0,0.414283524,0.27317335,0.195737177,0.112167446,0,0.141915204,0.051291881,2000
WIS_COO_2,1940,0,490,0,7,0,0,0,3,13,0,0,922,823,0,0,0,0,0,2,1,0,0,0,0,0,1,0,509,0,0,9,0,0,0,73,600,664,195,52,10,11317,248,380,30,4598,2071,37,0,0,0,0,0,0,0,0,0,0,24995,4211,14093,4598,1521,0,0.168473695,0.563832767,0.183956791,0.06085217,0,0.077615523,0.019603921,2000
WIS_COO,2332,0,1045,2,4,15,0,455,6,17,0,0,1280,1399,0,0,0,0,0,0,0,0,0,0,0,0,4,0,213,0,0,35,0,0,3,169,579,506,80,18,1,8409,154,458,13,6773,1021,35,0,0,0,0,0,0,0,2,0,0,25028,6599,10091,6773,1184,0,0.263664696,0.403188429,0.270616909,0.047307016,0,0.093175643,0.041753236,2000
LET_NOB,9339,0,2549,0,28,0,0,399,0,5,0,0,5100,253,0,2,426,4,0,0,0,3,17,0,0,0,1,0,20,0,0,3,0,3,0,20,971,177,95,21,34,4113,2,219,7,1429,556,13,0,0,0,0,0,0,5,0,2,2,25818,18141,4944,1429,1298,0,0.702649314,0.191494306,0.055348981,0.050275002,0,0.361724378,0.098729569,2000
LET_TAB,8384,0,180,0,8,0,0,447,0,6,0,0,8189,243,1,0,30,10,0,0,12,0,9,0,0,0,7,0,36,0,1,1,0,3,0,20,1242,176,44,32,14,3924,287,1408,13,754,142,4,1,0,0,0,0,0,5,0,0,6,25639,17543,5792,754,1508,0,0.684231054,0.225905847,0.029408323,0.058816647,0,0.327001833,0.007020555,2000
WIS_HIG,51,0,9,0,6,1,0,2,0,2,0,0,43,67,0,0,0,0,0,11,0,0,0,0,0,0,2,2,241,0,13,413,0,2,0,268,1185,1263,1091,402,66,14663,340,544,13,2285,1890,50,0,0,0,0,0,0,0,0,0,0,24925,624,17566,2285,4007,0,0.025035105,0.704754263,0.091675025,0.160762287,0,0.002046138,0.000361083,2000
WIS_MEG,1006,2,612,0,201,86,0,7,19,43,0,0,236,1027,0,0,0,0,0,2,0,0,12,0,4,0,1,2,93,0,0,62,0,0,1,202,1973,3221,1852,399,19,6968,142,274,7,5518,1110,19,0,0,0,0,0,0,0,2,2,0,25124,3327,8539,5518,7464,0,0.132423181,0.339874224,0.219630632,0.297086451,0,0.040041395,0.024359178,2000
WIS_KEN,131,2,22,1,12,10,0,2,1,8,0,0,33,84,0,2,0,0,0,71,0,0,0,2,0,0,2,2,139,0,2,1170,0,0,3,5689,1448,1841,1649,1022,36,6861,18,141,25,3400,649,383,0,0,0,0,0,0,0,0,0,0,24861,1560,8113,3400,5996,0,0.062748884,0.326334419,0.136760388,0.241180966,0,0.005269297,0.00088492,2000
ZUE_REE,2321,0,4406,0,17,0,0,1561,2,124,0,182,954,293,0,0,10,0,0,0,1,0,1,0,0,0,19,0,53,5,0,463,177,3,0,8151,582,554,110,6,6,3115,11,250,4,1681,374,42,0,0,0,0,0,0,0,2,2,274,25756,10817,3802,1681,1258,0,0.419979811,0.147616089,0.065266346,0.048842988,0,0.090114925,0.171066936,2000
DEG_PER_STRIP,3535,5,538,0,3,0,3,182,2,22,0,0,2014,1572,0,0,3,2,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,1,926,428,61,6,3,11213,282,841,19,3570,370,7,0,0,0,0,0,0,35,0,6,0,25664,7928,12735,3570,1424,0,0.308915212,0.496220387,0.139105362,0.055486284,0,0.137741584,0.020963217,2000
DEG_FOU_WOOD,6913,0,175,0,3,0,0,8,1,0,0,0,2944,3297,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,6,10,2,3,1105,644,131,7,9,4447,336,613,27,4461,399,26,3,0,0,0,0,0,0,0,4,0,25588,13380,5857,4461,1896,0,0.52290136,0.228896358,0.174339534,0.074097233,0,0.270165703,0.006839143,2000
DEG_DIE_HILL,1987,9,554,0,34,0,0,25,4,12,0,0,1185,1655,0,0,2,0,0,0,3,0,0,0,0,0,14,0,19,0,0,1,3,2,2,1049,1332,2943,2639,997,239,5229,228,415,47,4436,433,83,7,0,0,3,0,0,0,0,11,0,25602,5513,6674,4436,8150,0,0.215334739,0.260682759,0.173267713,0.318334505,0,0.077611124,0.021638934,2000
DEG_DIE_SWC,3583,0,691,0,14,3,0,21,3,29,0,0,840,1496,0,0,11,0,0,0,0,0,0,0,0,0,5,0,6,0,0,4,4,2,0,36,1210,524,155,36,29,10198,423,881,27,4836,538,32,0,0,0,0,0,0,0,0,3,0,25640,6709,12128,4836,1954,0,0.261661466,0.47301092,0.188611544,0.076209048,0,0.13974259,0.026950078,2000
DEG_YOU_BOCES,2519,0,448,0,2,0,0,36,0,44,0,0,2007,1232,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,5,8,2,51,1884,2998,2243,533,47,5770,243,589,32,4313,536,41,4,0,0,0,0,0,0,0,11,0,25618,6321,7258,4313,7705,0,0.246740573,0.283316418,0.168358186,0.300765087,0,0.0983293,0.017487704,2000
DEG_YOU_OSHEA,3630,2,753,0,0,0,0,28,0,33,0,0,2062,992,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,504,2271,3156,1255,187,1,6722,237,527,30,2536,653,41,2,0,0,0,0,0,0,1,0,0,25641,7508,8211,2536,6870,0,0.292812293,0.32022932,0.098904099,0.267930268,0,0.141570142,0.029367029,2000
DEG_YOU_JONES,3885,12,256,0,17,10,0,20,0,212,0,0,2295,2422,0,0,8,0,0,0,0,0,0,0,0,0,10,0,26,0,0,1,0,4,3,1011,1023,1127,247,36,81,7271,79,379,13,4573,458,81,1,0,0,0,0,101,3,0,6,0,25671,9266,8362,4573,2514,0,0.360952047,0.325737213,0.178138756,0.097931518,0,0.151338086,0.009972342,2000
DEG_VIL,4452,6,264,0,17,10,0,18,2,212,0,0,2267,1653,0,0,8,0,0,0,0,0,0,0,0,0,11,0,27,0,0,1,0,4,3,710,809,1167,267,36,25,7715,232,803,16,4318,442,48,1,0,0,0,0,101,24,0,4,0,25673,9058,9281,4318,2304,0,0.352822031,0.361508199,0.168192264,0.089744089,0,0.173411756,0.010283177,2000
SEA_HOO,6268,0,2995,0,8,2,0,3298,6,23,0,1,3751,804,2,4,56,8,3,0,0,0,0,0,0,0,745,8,31,0,0,6,283,5,0,35,1227,372,115,18,3,2740,74,331,0,1904,452,28,7,0,0,0,0,0,0,2,0,9,25624,18294,3628,1904,1735,0,0.713940056,0.141586013,0.074305339,0.067709959,0,0.244614424,0.11688261,2000
MIL_HUM,4813,0,2321,0,0,0,0,988,0,0,0,0,1339,628,5,0,331,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2127,1496,180,30,0,6445,351,665,15,3805,431,3,1,0,0,0,0,0,0,0,0,0,25980,10426,7910,3805,3833,0,0.401308699,0.304464973,0.146458814,0.147536567,0,0.185257891,0.089337952,2000
ONE_TER,2386,25,77,0,0,2,0,1,36,4,0,0,1600,1392,0,0,1,0,0,0,0,0,0,0,0,0,1,0,96,0,0,0,0,0,0,666,2390,3037,2309,797,32,4067,605,130,30,5737,1863,69,0,0,0,0,0,0,0,0,0,0,27353,5525,6796,5737,8565,0,0.201988813,0.24845538,0.209739334,0.313128359,0,0.08722992,0.002815048,2000
ONE_ADO,1956,3,72,0,1,8,0,4,2,23,0,0,950,1983,0,0,1,0,0,0,0,0,0,0,0,5,3,0,124,0,0,0,2,0,0,40,2772,278,159,46,84,11171,1757,298,66,2967,2557,64,13,0,0,0,0,0,0,0,0,0,27409,5026,15997,2967,3339,0,0.183370426,0.58364041,0.108249115,0.1218213,0,0.071363421,0.002626874,2000
ONE_STA,9008,1,22,0,0,0,0,0,0,6,0,0,1916,1340,11,0,5,0,0,0,0,0,0,0,0,3,3,0,29,0,0,0,0,0,0,15,1059,480,244,135,33,7202,502,305,42,2130,2982,54,0,0,0,0,0,0,0,0,0,0,27527,12315,11120,2130,1951,0,0.447378937,0.403967014,0.077378574,0.070875867,0,0.327242344,0.000799215,2000
