Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Broccoli,Peppers,Greens,Plums,Squash,Dbl Crop WinWht/Corn,Pumpkins,Blueberries,Cabbage,Radishes,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
SMI_HOL,8641,0,1270,0,11,0,0,3,2,0,0,1860,18530,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,26,0,0,0,0,1362,2213,316,74,23,108,13571,1358,3136,707,2340,2439,85,0,0,0,0,0,0,0,0,3,0,0,0,58174,11816,21404,2340,2734,1362,0.203114794,0.367930691,0.040224155,0.04699694,0.023412521,0.148537147,0.021831059,3000
DIP_PAT,17393,4,5041,0,0,0,3668,12,62,0,0,12732,2341,0,0,64,0,0,0,0,0,0,0,48,0,85,0,0,37,22,11,0,0,48,1363,218,41,2,227,5745,62,189,2549,4271,1663,207,68,0,0,0,0,0,0,0,0,2,0,0,58175,39164,10642,4271,1851,48,0.673210142,0.182930812,0.073416416,0.031817791,0.000825097,0.298977224,0.086652342,3000
MIL_YOD,9664,0,2925,0,183,2,134,0,349,0,0,12429,3039,11,0,84,0,0,0,0,0,0,0,15,4,247,0,0,1,2,5,0,0,26,1389,107,26,0,10,12433,480,167,6431,7604,438,95,52,0,0,0,0,0,0,0,0,0,0,0,58352,25860,20054,7604,1532,26,0.443172471,0.343672882,0.130312586,0.026254456,0.000445572,0.165615574,0.050126817,3000
MIL_CHA,14418,0,2363,0,7,0,784,0,74,0,0,9567,1423,6,0,50,0,0,0,0,0,0,0,2,64,42,0,0,5,16,0,0,0,87,1021,52,8,0,0,15823,1502,414,4407,6022,217,39,2,0,0,0,0,0,0,0,0,0,0,0,58415,27358,22402,6022,1081,87,0.468338612,0.383497389,0.10308996,0.018505521,0.001489343,0.246820166,0.040451939,3000
MIL_MCC,8963,1,2629,0,3,0,30,58,233,0,0,5757,2779,0,0,567,0,0,0,0,0,0,0,5,2,85,0,0,2,1,17,0,0,188,2457,1197,546,121,34,15928,1833,351,5358,6693,2073,296,3,0,0,0,0,0,0,0,0,1,0,0,58211,18272,25873,6693,4355,188,0.313892563,0.444469258,0.114978269,0.074814039,0.00322963,0.153974335,0.045163285,3000
KAT_SAU,3691,0,86,1,0,0,251,10,190,0,0,926,10328,5,0,215,0,0,0,0,0,0,0,53,0,83,0,0,2,2,0,0,0,7,2206,323,74,11,5,22244,4629,1803,2131,7196,94,27,30,0,0,0,0,0,0,0,0,0,0,0,56623,5462,30933,7196,2619,7,0.096462568,0.546297441,0.127086166,0.046253289,0.000123625,0.065185525,0.001518817,3000
KAT_SAU_2,4654,0,101,1,0,0,326,16,220,0,0,965,12563,5,0,298,3,0,0,0,0,0,0,72,0,79,0,0,6,2,3,0,2,5,2052,88,30,2,4,20618,3501,1449,1582,7827,55,35,64,0,0,0,0,0,0,0,0,0,0,0,56628,6736,27244,7827,2176,7,0.118951755,0.481104754,0.138217843,0.03842622,0.000123614,0.082185491,0.00178357,3000
KAT_TEE,3328,33,148,0,0,0,22,2,12,0,0,2145,5731,0,0,20,0,0,0,0,0,14,0,0,0,108,0,0,0,1,6,0,0,54,1303,103,7,0,9,34969,4802,277,912,2636,346,134,0,0,0,0,0,0,0,0,0,3,0,0,57125,5734,41449,2636,1422,54,0.100376368,0.725584245,0.04614442,0.024892779,0.000945295,0.058258206,0.00259081,3000
KAT_TEE_2,4006,1,185,0,0,0,28,3,22,0,0,2399,5814,0,0,0,0,0,0,0,2,23,0,4,0,75,0,0,0,0,7,0,0,72,1327,113,16,5,19,34429,4457,381,1153,1996,368,230,3,0,0,0,0,0,0,0,0,3,0,0,57141,6686,41037,1996,1480,72,0.117008803,0.718170841,0.034931135,0.025900842,0.001260041,0.070107278,0.003237605,3000
KAT_HAB_2,7567,0,1461,0,0,0,92,19,64,0,0,1324,12308,6,2,18,10,0,0,0,10,2,0,22,0,185,0,0,0,29,33,0,0,437,1694,73,7,3,7,19758,6319,1063,372,3405,891,177,161,0,0,0,0,0,3,0,0,2,0,0,57524,10825,28587,3405,1784,437,0.188182324,0.496957792,0.059192685,0.031013142,0.007596829,0.131545094,0.025398095,3000
KAT_HAB,8947,0,3065,0,2,0,77,56,1,0,0,1941,7687,0,0,250,0,0,0,0,475,0,0,75,0,602,0,0,2,229,11,0,0,57,4641,1414,260,61,187,18838,2685,1074,429,3465,709,196,4,0,2,0,0,0,0,0,0,5,0,0,57447,15142,24118,3465,6563,57,0.263582084,0.419830452,0.060316466,0.114244434,0.000992219,0.155743555,0.053353526,3000
KAT_BAR,2729,0,311,0,0,0,258,0,1,0,0,885,3735,0,0,525,2,0,0,0,0,0,0,17,0,10,0,0,1,61,39,0,0,699,2124,245,99,15,101,26660,3390,9893,779,3250,520,260,0,0,0,0,0,0,0,0,0,0,0,0,56609,4829,41603,3250,2584,699,0.085304457,0.734918476,0.057411366,0.045646452,0.01234786,0.048207882,0.005493826,3000
SMI_LAT,10466,0,748,0,14,0,13,2,87,0,0,8345,5294,7,0,68,0,0,0,0,0,0,0,8,2,91,0,0,2,0,71,0,0,346,3019,985,486,130,5,10556,1176,650,5081,7960,1994,165,2,0,0,0,0,0,3,0,2,0,0,0,57778,19840,19627,7960,4625,346,0.343383295,0.33969677,0.137768701,0.080047769,0.005988439,0.181141611,0.012946104,3000
SMI_DUR,5348,0,760,0,12,0,23,6,94,0,0,1793,2294,2,0,89,0,0,14,10,0,0,0,2,28,627,0,0,15,4,480,0,0,1347,3182,812,197,29,191,18675,1266,344,7458,4328,8242,796,8,0,0,0,0,0,0,0,0,0,0,0,58476,8688,36972,4328,4411,1347,0.148573774,0.632259388,0.07401327,0.075432656,0.023035091,0.091456324,0.012996785,3000
SMI_HOF,4523,0,777,0,0,0,10,3,96,0,0,1278,3242,0,0,8,0,0,0,0,0,0,0,3,1,64,0,0,0,0,0,0,0,866,2546,223,46,2,135,20285,2855,12515,866,5393,1039,379,0,0,0,0,0,0,0,0,0,0,0,0,57155,6699,38074,5393,2952,866,0.117207593,0.666153442,0.094357449,0.051649025,0.01515178,0.079135684,0.013594611,3000
SMI_JOH,8909,0,1457,0,150,0,102,0,152,0,0,7145,6209,6,0,24,0,0,0,0,0,0,0,22,7,191,0,0,6,2,2,0,0,36,1858,532,183,44,16,12858,969,275,7715,9071,305,83,38,0,0,0,0,0,0,0,1,0,0,0,58368,18023,22221,9071,2633,36,0.308782209,0.380705181,0.155410499,0.045110334,0.000616776,0.152635005,0.024962308,3000
SMI_JOH_2,3148,0,751,0,5,0,50,4,96,0,0,4720,2670,35,0,1881,0,0,0,0,0,0,0,0,0,303,0,0,5,6,0,0,0,354,4440,3207,1177,558,66,16229,1091,188,9500,7474,401,119,4,0,0,0,0,0,0,0,0,0,0,0,58482,10705,27594,7474,9448,354,0.183047775,0.471837488,0.127800007,0.161553982,0.006053145,0.053828528,0.012841558,3000
GAB_ALL,3218,0,18,0,0,0,2,4,9,0,0,1282,2091,0,0,0,0,0,0,0,0,0,0,0,39,287,0,0,0,0,0,0,0,4488,5301,4844,3109,899,294,22024,830,482,2428,2121,4048,371,0,0,0,0,0,0,0,0,24,4,0,0,58217,4600,30477,2121,14447,4488,0.079014721,0.523506879,0.036432657,0.248157755,0.077090884,0.05527595,0.000309188,3000
KAT_JEF,3458,0,595,0,0,0,65,0,56,0,0,285,12702,0,0,660,0,0,0,0,0,0,0,22,0,181,0,0,0,4,11,0,0,61,2207,381,41,3,16,20376,2007,148,691,5377,7256,355,0,0,0,0,0,0,0,0,0,0,0,0,56958,5156,30849,5377,2648,61,0.090522841,0.541609607,0.094402893,0.046490396,0.001070965,0.060711401,0.010446294,3000
KAT_JEF_2,3221,0,33,0,0,0,17,0,54,0,0,252,12239,0,0,0,0,0,0,0,3,1,0,4,0,129,0,0,0,10,4,0,0,63,1510,262,87,14,8,22510,1427,108,428,3160,10999,469,0,0,0,0,0,0,0,0,0,0,0,0,57012,3599,35949,3160,1881,63,0.063127061,0.630551463,0.055426928,0.032993054,0.001105031,0.056496878,0.000578826,3000
STA_WIL,12365,0,2217,4,3,0,4285,32,75,0,2,10627,947,0,0,378,0,0,0,0,0,0,0,11,0,113,0,0,47,34,1,0,0,108,2971,506,113,12,85,8629,77,890,1224,7700,4652,241,5,0,0,0,0,0,0,0,0,2,26,0,58382,30114,15798,7700,3687,108,0.515809667,0.270597102,0.131889966,0.063153027,0.001849885,0.211794731,0.037974033,3000
STA_HEM_2,15680,8,3484,1,4,0,4360,490,35,0,99,7085,997,4,0,345,0,2,80,12,0,0,15,22,0,998,0,0,97,110,0,0,0,284,2787,631,125,59,735,6597,49,585,801,6081,4570,195,23,4,0,0,0,0,24,0,0,0,622,0,58100,32606,13532,6081,4337,284,0.561204819,0.232908778,0.104664372,0.07464716,0.004888124,0.269879518,0.059965577,3000
STA_HEM,15292,28,5881,5,3,0,747,16,45,0,3,10039,788,0,0,205,0,62,6,0,0,0,0,37,0,286,0,0,97,319,17,0,0,1249,2173,238,28,12,32,7403,288,948,933,6173,3461,261,10,0,0,0,0,0,0,0,0,0,1113,0,58198,33925,13326,6173,2483,1249,0.582923812,0.228976941,0.106068937,0.042664696,0.021461219,0.26275817,0.101051583,3000
STA_SWE,8329,5,2237,0,0,0,1682,8,10,0,2,11408,864,6,8,1387,5,0,0,0,36,332,0,10,5,106,0,0,19,2,5,1,0,77,1777,219,35,14,13,19121,110,456,1845,5191,2040,560,9,11,0,0,2,0,7,0,0,0,23,0,57977,25549,24145,5191,2058,77,0.44067475,0.416458251,0.089535505,0.035496835,0.001328113,0.143660417,0.038584266,3000
STA_COL,7195,0,2816,0,1,0,2582,9,9,0,0,4267,579,9,0,767,2,0,0,0,0,206,0,6,3,577,5,0,172,3,105,0,0,480,4453,1215,318,24,94,11756,372,614,903,11461,6924,291,2,0,2,8,0,0,99,0,0,0,373,0,58702,18641,20954,11461,6104,480,0.317553065,0.35695547,0.195240367,0.103982829,0.008176893,0.122568226,0.047971108,3000
WIS_COO_2,2822,3,1567,5,0,2,30,1,9,0,0,3309,2505,0,0,0,0,0,0,0,0,0,0,8,7,1003,0,0,40,0,1,0,0,159,2375,424,107,30,36,27073,1297,157,1873,7883,2682,686,0,0,0,0,0,0,0,155,0,0,0,0,56249,7959,33804,7883,2972,159,0.141495849,0.600970684,0.140144714,0.052836495,0.002826717,0.050169781,0.027858273,3000
WIS_COO,4728,0,2670,17,0,0,143,10,17,0,0,6260,5408,0,0,0,0,0,2,0,0,0,0,17,9,516,0,0,28,0,0,0,0,355,1437,263,62,26,14,19150,475,46,1980,10548,1604,477,5,0,0,0,0,0,0,41,0,0,0,0,56308,13947,23746,10548,1802,355,0.247691269,0.421716275,0.187326845,0.032002557,0.00630461,0.083966754,0.047417774,3000
LET_NOB,22983,0,5041,0,0,0,544,0,2,0,2,13697,543,0,0,405,0,0,0,0,0,1,0,0,0,47,0,0,0,0,1,0,0,29,1627,339,36,3,35,7875,11,108,428,2730,1487,109,5,0,0,0,0,0,0,0,0,0,5,0,58093,42686,10053,2730,2040,29,0.734787324,0.173050109,0.046993614,0.035116107,0.0004992,0.395624258,0.086774654,3000
LET_TAB,14977,0,239,0,0,0,954,5,46,0,1,14078,267,3,0,99,128,0,0,1,0,29,0,11,0,28,0,0,1,17,0,0,0,299,1902,347,53,28,26,14486,1621,3744,774,2090,799,622,0,8,0,0,0,0,0,0,0,0,2,0,57685,30599,22072,2090,2356,299,0.530449857,0.3826298,0.036231256,0.040842507,0.005183323,0.25963422,0.004143191,3000
WIS_HIG,57,0,12,0,0,0,0,13,0,0,0,63,299,0,0,0,0,0,0,0,0,0,0,0,4,927,0,0,727,0,34,5,0,6982,4179,1856,1216,349,85,30118,1824,535,597,1325,4006,864,0,0,0,0,0,2,0,0,0,0,0,0,56079,917,38029,1325,7685,6982,0.016351932,0.678132634,0.023627383,0.13703882,0.124502933,0.001016423,0.000213984,3000
WIS_MEG,1392,1204,784,13,548,0,174,36,42,0,0,1013,4783,0,0,0,0,0,0,0,0,0,0,18,323,247,5,0,133,0,0,6,0,308,4870,4353,1861,311,140,18885,1051,108,3829,7550,2259,279,6,0,0,0,0,0,0,0,0,0,0,0,56531,5697,26551,7550,11535,308,0.100776565,0.469671508,0.133555041,0.204047337,0.005448338,0.024623658,0.013868497,3000
WIS_KEN,482,0,78,2,0,0,3,3,0,0,0,208,400,0,0,0,0,0,0,0,0,0,0,1,0,1026,0,2,8326,2,92,20,0,8956,7227,3090,2983,2199,90,13517,406,127,857,3343,1396,1090,0,0,0,0,0,9,0,0,0,0,0,0,55935,9228,17483,3343,15589,8956,0.164977206,0.312559221,0.0597658,0.278698489,0.160114419,0.008617145,0.001394476,3000
ZUE_REE,7289,1,5912,2,0,0,2611,33,285,0,282,4333,542,6,0,14,0,0,0,2,0,0,0,13,4,217,3,0,919,411,3,0,0,21248,2325,496,34,0,12,4471,81,935,934,3011,951,244,22,0,0,0,0,0,2,0,0,0,299,1,57948,22447,7628,3011,2867,21248,0.387364534,0.131635259,0.051960378,0.049475392,0.366673569,0.125785187,0.102022503,3000
DEG_PER_STRIP,7777,11,1146,0,14,0,53,17,127,2,0,6109,5604,39,0,33,0,0,2,0,0,0,0,141,0,346,3,0,1,5,8,0,0,50,2062,160,16,0,21,23112,755,1171,3433,4827,583,101,10,0,0,0,0,0,0,0,2,3,0,0,57744,15503,29176,4827,2259,50,0.26847811,0.505264616,0.083593101,0.039120948,0.000865891,0.134680659,0.019846218,3000
DEG_FOU_WOOD,11683,2,148,0,9,0,126,18,35,2,0,8396,7533,4,0,8,0,0,0,0,0,0,0,28,0,50,0,0,11,29,22,0,0,46,2576,303,21,3,13,13046,630,997,3525,6898,1231,165,11,0,0,0,0,0,0,0,0,2,0,0,57571,20534,19607,6898,2916,46,0.35667263,0.340570773,0.119817269,0.050650501,0.000799013,0.202932032,0.002570739,3000
DEG_DIE_HILL,5020,4,617,0,0,0,26,9,70,0,0,2382,4247,0,0,5,0,0,19,3,0,0,0,47,0,67,0,0,8,13,16,0,0,1166,4726,5362,3987,1162,577,15708,855,951,3399,5617,1273,267,10,1,0,0,0,0,0,0,3,0,0,0,57617,8253,23030,5617,15814,1166,0.143238975,0.399708419,0.097488588,0.274467605,0.020237083,0.087127063,0.010708645,3000
DEG_DIE_SWC,6677,5,240,0,0,0,8,8,31,0,0,3826,7153,3,0,6,0,0,9,2,0,0,0,56,0,106,4,0,13,2,55,0,0,43,2109,220,156,13,82,24232,978,1088,3637,5615,1103,187,5,0,0,0,0,0,0,0,1,3,0,0,57676,10954,31307,5615,2580,43,0.189923018,0.5428081,0.097354185,0.044732644,0.000745544,0.11576739,0.004161176,3000
DEG_YOU_BOCES,6261,2,564,0,0,0,13,4,41,0,0,3165,3504,0,0,0,0,0,7,0,0,0,0,44,5,35,0,0,7,8,16,0,0,122,7500,7248,4570,1281,125,12193,644,709,3031,5453,921,153,12,1,0,0,0,0,0,0,1,4,0,0,57644,10155,17776,5453,20724,122,0.176167511,0.308375546,0.094597877,0.359517036,0.002116439,0.108614947,0.009784193,3000
DEG_YOU_OSHEA,8288,2,162,0,0,2,6,4,39,0,0,5341,4975,0,0,0,0,0,1,0,0,0,0,44,0,72,0,0,9,4,47,0,0,1152,6470,4077,1203,136,215,13120,607,850,3304,6027,1322,203,8,0,0,0,0,0,0,0,0,5,0,0,57695,13962,19621,6027,12101,1152,0.241996707,0.340081463,0.104463125,0.209740879,0.019967068,0.143651963,0.002807869,3000
DEG_YOU_JONES,6708,0,295,2,4,0,196,21,217,2,0,6357,4219,175,0,12,0,0,0,0,0,0,0,23,0,122,5,0,7,4,29,0,0,2263,3542,1080,156,3,154,20610,1384,1356,3705,3943,953,185,10,0,0,0,0,0,0,0,17,0,0,0,57759,14084,28347,3943,4935,2263,0.243840787,0.490780658,0.068266417,0.08544123,0.039180041,0.116137745,0.005107429,3000
DEG_VIL,6244,0,459,2,4,7,193,24,231,2,0,6607,3668,24,0,14,11,0,0,0,0,0,0,43,0,117,5,0,8,4,25,0,0,2196,3457,1021,138,3,155,21619,1029,1527,3717,4060,942,194,12,0,0,0,0,0,0,0,17,0,0,0,57779,13936,29183,4060,4774,2196,0.241194898,0.5050797,0.070267744,0.082625175,0.038006888,0.108066945,0.007944063,3000
SEA_HOO,14463,0,8187,4,0,0,4409,169,809,0,71,9150,2120,3,0,166,58,0,3,0,0,0,12,950,1,208,0,0,7,853,5,0,0,50,2020,215,25,14,19,5160,358,965,777,5145,961,126,52,0,0,0,0,0,2,0,0,0,31,88,57656,39493,8366,5145,2293,50,0.684976412,0.145101984,0.089236159,0.039770362,0.000867212,0.250849868,0.141997364,3000
MIL_HUM,5431,0,3447,0,238,0,2177,1,13,0,0,3101,2292,4,0,434,0,0,0,0,0,0,0,0,10,58,0,0,7,1,0,0,0,7,5829,2932,188,65,0,17349,1583,761,5646,6237,560,55,22,0,0,0,0,0,0,0,0,0,0,0,58448,14886,25954,6237,9014,7,0.254687928,0.444052833,0.106710238,0.154222557,0.000119765,0.092920203,0.0589755,3000
ONE_TER,7027,168,81,0,0,0,0,1,73,0,0,2740,8254,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1807,7656,4262,1581,445,34,13816,1802,87,1416,5998,3950,298,0,0,0,0,0,0,0,0,0,0,0,0,61546,10090,21403,5998,13978,1807,0.163942417,0.34775615,0.097455562,0.227114678,0.029360153,0.114174764,0.001316089,3000
ONE_ADO,1949,2,57,0,3,0,7,0,23,0,0,3649,2310,27,0,4,0,0,2,0,0,0,0,0,0,78,0,0,0,0,0,0,0,1378,3584,388,90,34,166,31581,7616,417,1843,2063,3996,376,0,0,0,0,0,0,0,0,0,0,0,0,61643,5723,45995,2063,4262,1378,0.092841036,0.746151226,0.033466898,0.069140048,0.022354525,0.03161754,0.000924679,3000
ONE_STA,13381,6,17,0,10,0,0,15,27,0,0,3722,5327,0,0,3,0,0,1,0,0,0,0,6,0,198,0,0,0,0,0,0,0,67,1705,309,56,52,54,25562,1991,360,2507,1936,4307,314,0,0,0,0,0,0,0,0,0,0,0,0,61933,17188,35095,1936,2176,67,0.277525713,0.566660746,0.031259587,0.035134742,0.001081814,0.216056061,0.00027449,3000
