,Field ID,Latitude,Longitude,Corn,Sorghum,Soybeans,Sweet Corn,Spring Wheat,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Dbl Crop Triticale/Corn,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
16,KAT_SAU,42.060556,-77.799722,119,13,1,0,0,151,0,3,29,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5,2,0,0,74,3,20,0,126,1,0,0,0,0,0,766.2608339999999,316,98,126,55,0
17,KAT_SAU_3,42.063889,-77.793333,33,9,2,0,0,51,0,0,28,169,3,0,0,1,0,0,0,0,0,0,0,0,1,0,63,6,1,0,0,218,1,19,0,194,0,0,0,0,0,0,763.2705559999999,127,238,194,70,1
18,KAT_TEE,42.333889,-78.760833,212,0,0,0,0,0,0,0,8,37,0,0,0,0,0,0,1,0,0,2,0,0,0,0,38,14,7,0,0,261,7,46,0,150,16,2,0,0,0,0,764.573056,222,332,150,59,0
19,KAT_TEE_3,42.344722,-78.739167,159,0,5,0,0,0,0,1,19,136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42,2,1,0,0,243,34,106,0,48,2,0,0,0,0,0,762.605555,185,385,48,45,0
20,POV_DUN,42.38746004,-76.39924839,2,0,1,0,0,0,0,0,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,10,0,0,0,239,1,139,2,269,8,0,0,0,0,0,771.98821165,8,389,269,69,0
21,SEA_HOO,42.627472,-77.018172,154,0,107,2,0,157,1,2,142,17,0,4,1,0,8,6,2,0,0,8,0,0,0,0,56,18,5,3,0,56,0,2,1,32,16,0,2,0,0,2,769.6093,596,75,32,82,0
22,STA_AYR,42.989351,-77.260081,63,0,196,1,0,102,0,1,17,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,9,2,1,1,209,0,8,0,107,47,0,0,0,0,0,774.72927,381,265,107,52,0
23,STA_BRA,42.909417,-77.788306,423,0,5,0,0,13,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,7,2,0,0,142,0,4,0,54,86,4,0,0,0,0,773.1211109999999,452,236,54,45,18
24,STA_FRE,42.84381,-76.88684,416,0,173,0,0,20,0,0,96,6,0,0,0,0,1,0,0,0,0,4,0,0,0,0,7,1,1,0,0,33,0,4,0,34,10,0,0,0,0,0,771.95697,710,47,34,9,0
25,STA_HEM,42.996,-77.103944,47,0,4,0,0,0,0,0,430,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,6,3,0,0,107,7,35,0,48,67,1,1,0,0,0,774.892056,485,217,48,40,0
26,STA_MAC,42.73875,-77.809417,173,0,210,0,0,258,0,0,9,8,0,8,20,1,0,0,2,0,0,0,0,0,0,0,37,35,5,3,1,3,0,0,0,36,0,0,0,0,0,0,773.929333,679,4,36,81,0
27,STA_NOB,42.85805,-77.95054,344,0,22,5,0,3,0,4,144,13,0,24,1,0,0,0,1,0,1,0,0,0,0,1,38,9,11,7,1,94,0,3,0,71,11,0,0,0,0,0,772.90751,548,109,71,66,1
28,STA_PAN,42.5805,-78.078917,301,103,3,0,0,0,1,0,294,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,5,2,0,13,0,1,0,30,2,0,0,0,0,0,769.501583,702,16,30,53,0
29,STA_SWE,42.798278,-78.099611,285,0,0,0,1,1,0,0,220,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,53,21,3,0,0,38,0,1,3,126,23,5,0,0,0,0,772.698667,507,70,126,77,6
30,STA_THO,43.137601,-77.316857,146,0,209,0,0,77,0,0,58,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,22,4,0,0,29,0,3,2,115,8,0,0,0,0,0,776.820744,491,42,115,90,0
31,STA_WAT,42.909417,-77.788306,423,0,5,0,0,13,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,7,2,0,0,142,0,4,0,54,86,4,0,0,0,0,773.1211109999999,452,236,54,45,18
32,WIS_COO,41.879388,-73.614722,206,0,24,0,1,0,0,0,139,20,0,0,0,0,0,0,0,0,6,0,0,0,0,0,19,0,0,0,0,75,0,4,3,290,7,1,0,0,0,0,763.264666,376,90,290,19,0
33,WIS_COO_2,41.871069,-73.62796,20,0,1,0,17,17,3,0,142,119,0,0,0,0,1,0,5,0,2,0,0,1,0,3,22,30,7,0,0,44,8,8,1,340,2,1,0,0,0,0,762.243109,204,64,340,59,3
34,WIS_KEN,41.66554,-73.95627,0,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,1,3,63,0,0,4,0,76,84,89,52,18,0,197,2,12,2,141,26,16,0,0,0,0,759.7092700000001,74,255,141,243,76
35,ZUE_REE,42.783494,-76.983186,76,0,171,3,0,124,1,0,29,26,0,4,0,0,0,0,3,0,2,8,0,0,0,0,34,11,5,0,0,119,0,14,0,151,13,0,0,0,0,18,777.800308,436,146,151,50,0
36,SMI_CAN_2,42.875556,-75.055333,73,0,30,0,0,0,0,0,60,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,31,32,10,15,264,3,10,1,170,19,2,0,0,0,0,772.8202229999999,163,314,170,122,2
37,SMI_COB_3,42.661472,-74.515333,242,1,2,0,0,0,0,0,235,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,21,4,0,0,84,3,6,3,113,25,1,0,0,0,0,770.146139,480,122,113,43,1
38,SMI_DOU_3,43.0545,-74.844361,39,0,42,0,0,1,0,3,74,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,10,5,0,0,171,8,7,0,171,5,0,0,0,0,0,777.210139,159,191,171,94,0
39,SMI_JOH,43.003194,-75.5905,191,0,65,0,0,0,0,0,96,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,12,5,0,158,5,2,1,147,46,0,0,0,0,0,774.412694,352,212,147,61,0
40,SMI_KEL,42.960056,-74.659556,142,0,2,0,0,0,0,0,70,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,2,0,0,242,22,42,1,91,12,1,0,0,0,0,785.3005,214,320,91,53,0
41,SMI_LAT,42.692,-75.52825,98,0,0,0,0,3,0,32,188,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12,7,1,0,245,8,21,0,91,8,0,0,0,0,0,772.1637499999999,321,282,91,74,0
42,SMI_LAT_2,42.692444,-75.5245,113,0,0,0,0,1,0,0,156,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,10,7,1,0,307,16,25,0,58,56,0,0,0,0,0,774.167944,270,404,58,54,4
43,SMI_MCC,43.118972,-74.846944,26,0,99,0,0,0,0,1,4,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,1,0,0,132,0,2,0,216,11,0,0,0,0,0,776.272028,130,145,216,73,0
