,Field ID,Latitude,Longitude,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Pop or Orn Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,VALUE_60,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Other Tree Crops,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Garlic,Broccoli,Peppers,Greens,Plums,Strawberries,Squash,Dbl Crop WinWht/Corn,VALUE_226,Lettuce,Dbl Crop Triticale/Corn,Pumpkins,Dbl Crop WinWht/Sorghum,Dbl Crop Barley/Corn,Cabbage,Cauliflower,Gourds,Total,Ag,Nat,Semi_Nat,Dev,Other
10,HUN_PLE_9,44.2865002,-75.8554739,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,98,7,1,5,159,10,0,0,3004,158,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3431.4310262999998,2,335,3004,127,0
11,KAT_HAB_3,42.503889,-78.913889,551,0,347,0,0,0,0,0,0,0,0,0,0,6,1,0,0,21,0,0,0,0,0,42,0,0,0,0,0,2,1,5,0,0,0,0,4,242,81,19,0,1,815,41,386,0,732,0,1,2,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,56,104,0,3438.59,1152,1244,732,343,4
12,KAT_HAB_4,42.547222,-78.870556,952,2,59,0,0,0,0,0,72,0,0,0,0,74,23,0,0,3,1,0,0,0,0,0,5,0,0,4,0,0,0,1,0,0,0,0,0,192,21,4,9,11,580,79,258,0,1107,2,2,2,0,0,0,0,0,0,4,0,0,5,0,0,2,0,0,1,6,0,3444.676666,1184,932,1107,237,0
13,KAT_JEF,42.243611,-79.070556,172,0,0,0,0,0,0,0,0,2,0,0,0,11,134,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,200,74,11,14,3,668,73,594,0,1345,168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3435.173055,187,1506,1345,302,1
14,KAT_JEF_2,42.271111,-79.087778,324,0,2,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0,0,0,0,0,1,85,45,5,11,19,1136,31,211,0,955,517,35,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,3436.183333,393,1949,955,165,1
15,KAT_MAH,42.409722,-77.711667,1897,2,7,0,4,0,0,0,0,1,0,0,0,228,0,0,0,3,3,0,0,2,1,0,0,0,0,3,0,0,0,1,0,0,0,0,6,162,56,60,34,31,459,6,50,0,399,46,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3428.698055,2150,594,399,343,6
16,KAT_SAU,42.060556,-77.799722,286,0,0,0,1,0,8,0,2,48,153,2,1,1,3,0,0,85,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,253,12,1,4,1,957,29,140,0,1465,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3430.2608339999997,595,1127,1465,271,6
17,KAT_SAU_3,42.063889,-77.793333,60,0,0,0,1,0,8,0,4,35,151,0,1,1,1,0,0,207,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,206,12,2,4,2,1182,15,96,0,1459,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3430.270556,471,1296,1459,226,6
18,KAT_TEE,42.333889,-78.760833,371,0,0,0,0,0,0,0,0,0,0,0,0,89,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,236,15,6,1,0,1078,26,283,0,1227,102,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3432.573056,464,1498,1227,258,8
19,KAT_TEE_3,42.344722,-78.739167,473,0,0,0,0,0,0,0,0,0,0,0,0,231,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,1404,209,640,0,370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3429.605555,704,2254,370,75,0
20,POV_DUN,42.38746004,-76.39924839,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,377,68,26,4,6,1338,32,443,0,1140,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3429.9882116500003,3,1835,1140,481,6
21,SEA_HOO,42.627472,-77.018172,469,0,944,0,2,0,51,0,257,20,0,1,21,362,6,8,0,7,0,4,1,1,0,0,75,17,0,0,0,0,0,4,0,0,0,0,2,174,29,10,2,6,267,1,21,0,606,14,0,0,2,0,0,0,3,0,0,18,0,1,0,49,7,0,0,1,0,1,3429.6093,2325,309,606,221,2
22,STA_AYR,42.989351,-77.260081,515,0,107,1,1,0,0,0,201,0,0,0,0,69,1,5,0,24,0,0,5,0,1,0,0,0,0,11,0,0,0,1,0,0,0,0,0,171,22,7,2,6,1244,1,34,0,597,431,5,0,0,0,0,0,0,0,2,2,0,0,0,0,6,0,0,0,0,0,3437.72927,940,1721,597,208,0
23,STA_BRA,42.909417,-77.788306,1111,5,426,0,0,0,0,0,55,12,0,0,0,105,0,0,311,69,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,68,85,8,8,0,0,710,0,10,0,226,180,56,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,11,0,0,3430.121111,2112,956,226,101,68
24,STA_FRE,42.84381,-76.88684,250,0,1594,0,1,0,0,0,462,8,37,0,0,228,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,140,51,13,15,5,189,0,3,0,430,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3428.95697,2588,222,430,224,2
25,STA_HEM,42.996,-77.103944,360,0,395,0,0,0,0,0,0,0,0,0,0,1177,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,136,30,0,0,0,496,16,68,0,451,294,15,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,3432.892056,1948,889,451,166,12
26,STA_MAC,42.73875,-77.809417,1730,0,664,0,0,0,0,0,190,13,0,0,0,77,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,14,6,2,4,306,15,94,0,250,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3437.929333,2682,420,250,125,0
27,STA_NOB,42.85805,-77.95054,1407,20,28,0,0,0,0,0,248,19,0,0,0,254,1,0,0,77,0,0,2,0,3,3,0,0,0,6,0,0,0,1,0,0,0,5,0,106,23,21,9,43,555,0,25,0,429,23,0,95,46,10,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,3431.90751,2221,646,429,202,5
28,STA_PAN,42.5805,-78.078917,1130,25,6,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,146,11,1,1,0,807,54,176,0,277,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430.501583,1913,1084,277,159,33
29,STA_SWE,42.798278,-78.099611,862,0,69,0,0,0,4,0,52,3,0,0,0,235,13,1,0,135,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,8,205,25,4,0,3,808,0,25,0,857,116,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21,0,3429.698667,1386,961,857,237,8
30,STA_THO,43.137601,-77.316857,1010,1,156,0,0,0,0,0,11,4,0,0,0,59,4,2,0,6,3,0,1,0,0,0,1,0,0,34,0,0,0,1,0,0,0,0,0,344,45,15,2,6,605,1,17,0,937,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3431.820744,1255,830,937,412,0
31,STA_WAT,42.909417,-77.788306,1111,5,426,0,0,0,0,0,55,12,0,0,0,105,0,0,311,69,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,68,85,8,8,0,0,710,0,10,0,226,180,56,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,11,0,0,3430.121111,2112,956,226,101,68
32,WIS_COO,41.879388,-73.614722,418,0,215,9,0,0,0,0,113,0,0,0,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,85,33,10,1,1,841,6,44,0,1505,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3435.264666,856,933,1505,130,39
33,WIS_COO_2,41.871069,-73.62796,265,0,108,0,0,0,0,0,257,0,1,0,0,139,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,31,89,74,13,3,2,743,53,106,0,1559,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3433.243109,774,920,1559,181,31
34,WIS_KEN,41.66554,-73.95627,2,0,5,0,3,0,0,0,10,26,4,0,0,23,11,0,0,0,0,2,0,0,0,0,5,0,0,16,2,51,152,8,1,19,80,0,943,286,344,251,117,73,582,75,87,27,91,74,83,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,3431.7092700000003,404,1001,91,1071,943
35,ZUE_REE,42.783494,-76.983186,78,0,614,0,12,0,141,0,311,28,32,0,0,13,1,6,0,11,1,2,6,0,0,0,0,99,0,0,0,0,0,7,7,0,0,0,519,101,100,25,0,1,479,1,11,0,702,82,14,8,1,1,0,0,1,0,0,25,0,0,13,0,16,0,0,2,0,1,3437.800308,1436,588,702,227,519
36,SMI_CAN_2,42.875556,-75.055333,661,0,15,0,1,0,0,0,0,0,6,0,0,75,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,57,41,11,14,973,16,63,0,1361,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3434.8202229999997,759,1083,1361,273,0
37,SMI_COB_3,42.661472,-74.515333,233,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,252,252,139,14,3,842,28,69,0,1449,158,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3431.146139,250,1104,1449,660,3
38,SMI_DOU_3,43.0545,-74.844361,71,0,128,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,98,38,6,0,696,62,49,0,1954,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3431.210139,200,821,1954,454,0
39,SMI_JOH,43.003194,-75.5905,820,1,2,0,7,0,0,1,0,0,1,0,0,43,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,36,22,3,4,976,201,159,0,957,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430.412694,882,1417,957,210,0
40,SMI_KEL,42.960056,-74.659556,609,26,78,0,6,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,60,7,0,5,530,90,319,0,1574,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3429.3005000000003,768,951,1574,172,0
41,SMI_LAT,42.692,-75.52825,568,0,106,0,1,0,0,0,0,0,0,0,0,224,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,268,38,16,3,5,935,44,49,0,1017,148,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3429.16375,910,1184,1017,330,22
42,SMI_LAT_2,42.692444,-75.5245,403,0,107,0,1,0,0,0,0,0,0,0,0,195,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,242,50,14,2,7,896,55,49,0,1197,208,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3431.167944,714,1219,1197,315,22
43,SMI_MCC,43.118972,-74.846944,31,0,121,0,3,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,47,4,0,0,709,30,10,0,2140,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,3434.272028,311,822,2140,193,0
